ACCE_ABSORB_CHANCE	Absorption rate: %d%%
MAP_SKIPIA_DUNGEON_01_02	Grotto of Exile 1 & 2
MAP_SKIPIA_DUNGEON_BOSS	Dragon's Temple
MAP_T1	Guild War Area
MAP_T2	Guild War Area
MAP_T3	Guild War Area
MAP_T4	Guild War Area
MAP_TEMPLE	Hwang Temple
MAP_THUNDER	Thunder Mountains
MAP_TRADE	Bazaar
MAP_TREE	Lungsam
MAP_TRENT	Ghost Forest
MAP_TRENT02	Red Forest
MAP_WEDDING_01	Wedding Map
MAP_WL	Snakefield
MESSENGER_ADD_FRIEND_ANSWER_TIMEOVER	The friend request has been canceled.
MESSENGER_ADD_FRIEND	Add friend
MESSENGER_ADD_BLOCK_FRIEND	Block friend
MESSENGER_BLOCK	Blocked
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND	%s wants you to be friends, do you accept?
MESSENGER_DO_YOU_DELETE	Do you want to delete from list?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Do you want to delete the cell phone number?
MESSENGER_DO_YOU_MOVE	Do you want to go on?
MESSENGER_EMPTY_LIST	Empty
MESSENGER_FAMILY	Family
MESSENGER_FRIEND	Friends
MESSENGER_GUILD	Guild
MESSENGER_TEAM	Team
MINIMAP	Open mini map
MINIMAP_BOSS_RESPAWN_TIME	[Respawn: %s]
MINIMAP_CANNOT_SEE	Mini map cannot be seen.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Large map cannot be shown.
MINIMAP_DEC_SCALE	Zoom out
MINIMAP_INC_SCALE	Zoom in
MINIMAP_OBSERVER_COUNT	%d observers
MINIMAP_SHOW_AREAMAP	Open large map
MINI_GAME_RUMI_DISCARD_QUESTION	Do you want destroy card?
MINI_GAME_RUMI_EXIT_QUESTION	Do you want end game?
MINI_GAME_RUMI_EXIT_QUESTION2	You will recieve reward depend of points.
MINI_GAME_RUMI_START_QUESTION	You need %d Yang and %d Kardsets to play.
MINI_GAME_RUMI_START_QUESTION2	Do you want to play?
MINUTE	Min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	ten thousand
MONETARY_UNIT2	hundred billion
MONETARY_UNIT_JUN	DC
MONETARY_UNIT_EXP	Experience
MONEY_INPUT_DIALOG_SELLPRICE	Sales price:
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Auf einem Reittier kannst du das nicht tun.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Du kannst dein Pferdelevel erhöhen, sobald du Championlevel erreicht hast.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Du benötigst %d Pferdefutter und %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Möchtest du versuchen, das Level deines Pferdes auf %d zu erhöhen?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	Um das Level deines Pferdes zu erhöhen, benötigst du %d Pferdefutter, %d Gaya und %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Du besitzt nicht genügend Gaya.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	Erhöhung des Pferdelevels fehlgeschlagen
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	Das Pferdelevel wurde auf %d erhöht.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Du besitzt nicht genügend Yang oder Pferdefutter.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Nächstes Level: %d (Maximal %d)
MOVE_CHANNEL_NOTICE	You are connected to channel %d ...
MOVE_CHANNEL_OFFLINE	This channel is closed.
MOVE_CHANNEL_TITLE	Change channel
MOVE_ITEM_FAILURE_PRIVATE_SHOP	You cannot move items while you have a private shop open.
MULTI_FARM_ACTIVE_CHAT	|cff00A8EB[Multi-Farm]|r |cffFFFFFFThis character has the drop activated!
MULTI_FARM_ACTIVE_TEXT	Do you want to activate the Multi-Farm?
MULTI_FARM_DEACTIVE_CHAT	|cff00A8EB[Multi-Farm]|r |cffFFFFFFYou have deactivated the drop for this character!|r
MULTI_FARM_DEACTIVE_TEXT	Do you want to deactivate Multi-Farm?
MULTI_FARM_PREMIUM_EFFECT	+%d characters to multi-farm	SA
MULTI_FARM_TEXT_CAN_FARM	Disable multi-farm - |Eemoji/key_lclick|e.
MULTI_FARM_TEXT_CANT_FARM	Enable multi-farm - |Eemoji/key_lclick|e.
MULTI_FARM_TITLE	Multi-Farm
MUSIC_EMPTY_MUSIC_LIST	No background music.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 standard music
MUSIC_NOT_SELECT_MUSIC	No music file chosen.
NEEFD_REST	You must rest first.
NOT_YET_SUPPORT	Not yet supported
OFFLINESHOP_AFFECT_DECORATION	Shop decoration	SNA
OFFLINESHOP_BOARD_TITLE	Shop
OFFLINESHOP_BUTTON_CLOSE	Close shop
OFFLINESHOP_BUTTON_HISTORY	History
OFFLINESHOP_BUTTON_HISTORY_CLEAR	Clear history
OFFLINESHOP_DO_YOU_GET_BACK	Remove %s from the shop?
OFFLINESHOP_DO_YOU_REMOVE_HISTORY	Do you want to delete the records?
OFFLINESHOP_DO_YOU_WANT_BACK	Do you want to get back your items?
OFFLINESHOP_DO_YOU_WANT_CLOSE	Do you want to close your shop?
OFFLINESHOP_DO_YOU_WANT_OPEN	Do you want open shop for %s yang?
OFFLINESHOP_DO_YOU_WANT_SLOT	Do you want to unlock this slot?
OFFLINESHOP_EXTEND_TIME_DIALOG	Will cost you %s to extend with 12 hours.
OFFLINESHOP_ITEM_SOLD	Item sold!
OFFLINESHOP_ITEM_SOLD2	[Bought by: %s]
OFFLINESHOP_ITEM_SOLD_MESSAGE	You have sold %s for %s Yang
OFFLINESHOP_ITEM_SOLD_MESSAGE_WITH_COUNT	You have sold x%d%s for %s Yang
OFFLINESHOP_SEARCH_BUTTON	Search
OFFLINESHOP_SEARCH_BUTTON_BUY	Buy Selected Items
OFFLINESHOP_SEARCH_BUTTON_BUY_QUESTION	You have %d item selected.
OFFLINESHOP_SEARCH_BUTTON_BUY_QUESTION2	You have %d items selected.
OFFLINESHOP_SEARCH_BUTTON_BUY_QUESTION_TOTAL	Total %s.
OFFLINESHOP_SEARCH_CLASS	Class
OFFLINESHOP_SEARCH_CLASS_ALL	All Class
OFFLINESHOP_SEARCH_CLASS_ASSASSIN	Ninja
OFFLINESHOP_SEARCH_CLASS_SHAMAN	Shaman
OFFLINESHOP_SEARCH_CLASS_SURA	Sura
OFFLINESHOP_SEARCH_CLASS_WARRIOR	Warrior
OFFLINESHOP_SEARCH_FILTER	Item filter
OFFLINESHOP_SEARCH_ITEM_COUNT	Amount
OFFLINESHOP_SEARCH_ITEM_NAME	Item name
OFFLINESHOP_SEARCH_ITEM_SELLER	Seller
OFFLINESHOP_SEARCH_NOT_ENOUGH_YANG	You don't have enough Yang.
OFFLINESHOP_SEARCH_OBJECTS	Objects
OFFLINESHOP_SEARCH_OBJECTS_ALL	All items
OFFLINESHOP_SEARCH_OBJECTS_BOOKS	Books
OFFLINESHOP_SEARCH_OBJECTS_BOOKS_COMPANIONS	Companions
OFFLINESHOP_SEARCH_OBJECTS_BOOKS_SKILLS	Skills
OFFLINESHOP_SEARCH_OBJECTS_COMPANIONS	Companions
OFFLINESHOP_SEARCH_OBJECTS_COMPANIONS_MOUNT	Mount
OFFLINESHOP_SEARCH_OBJECTS_COMPANIONS_PET	Pet
OFFLINESHOP_SEARCH_OBJECTS_COMPANIONS_PET2	Companions
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES	Costumes
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_ACCE	Acce
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_ARMOUR	Armor
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_AURA	Aura
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_HAIR	Hair
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_MOUNT_SKIN	Mount
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_PET_SKIN	Pet
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_WEAPON	Weapons
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT	Equipment
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_ARMOUR	Armour
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_BELTS	Belt
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_BRACELETS	Bracelets
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_EARRINGS	Earrings
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_HELMETS	Helmets
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_NECKLACES	Necklaces
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_PENDANT	Pendant
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_SHIELD	Shield
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_SHOES	Shoes
OFFLINESHOP_SEARCH_OBJECTS_OTHERS	Other objects
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS	Weapons
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_BELL	Bell
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_BOW	Bow
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_DAGGER	Dagger
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_FAN	Fan
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_SWORD	Sword
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_TWOHAND	Two-Handed
OFFLINESHOP_SEARCH_PRICE	Price
OFFLINESHOP_SEARCH_SELECT_ITEM	You must select a item.
OFFLINESHOP_SEARCH_TITLE	Global search
OFFLINESHOP_SEARCH_WAIT	Please wait
OFFLINESHOP_SEARCH_WAIT_SPAM	You have to wait a few seconds.
OFFLINESHOP_VIEWS	Views: %d Total: %d
ONLINE_PLAYER_NOTICE	Player %s is online.
OPTION_GAME_CHARACTER	Character
OPTION_GAME_ENVIRONMENT	Environment
OPTION_GAME_GRAPHIC	Graphic
OPTION_GAME_INTERFACE	Interface
OPTION_GAME_PICKUP	Pickup
OPTION_GAME_SETTINGS	Game settings
OPTION_GAME_SOUND	Sounds and music
OPTION_GRAPHIC_SETTINGS	Graphic settings
OPTION_SOUND_SETTINGS	Sound settings
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	You cannot activate guild mode when you do not belong to a guild.
OPTION_PVPMODE_NOT_SUPPORT	You cannot choose this configuration in PvP.
OPTION_PVPMODE_PROTECT	You need to have at least level %d to be able to change the PvP.
PARTY_ANSWER_TIMEOVER	The invitation was rejected.
PARTY_BONUS_ATTACKER	Attack value: +%d	SA
PARTY_BONUS_BERSERKER	Attck speed: +%d	SA
PARTY_BONUS_BUFFER	Skill Duration: +%d	SA
PARTY_BONUS_DEFENDER	Defence +%d%%	SA
PARTY_BONUS_EXP	Bonus-EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	HP recovery per kill +%d%%	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Delete group
PARTY_DO_YOU_ACCEPT	%s invited you to join the group.
PARTY_DO_YOU_JOIN	, do you accept the invitation to join the group?
PARTY_EXP_DISTRIBUTION_MODE	EXP Distribution
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Level dependant
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Higher level group members receive more EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	even
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	All group members receive the same EXP.
PARTY_HEAL_ALL_MEMBER	Restore everything.
PARTY_INCREASE_AREA_150	Range of the group heightened of the factor 1.5 .	SNA
PARTY_INCREASE_AREA_200	Range of the group heightened of the factor 2.	SNA
PARTY_LEAVE	Leave group
PARTY_LONGTIME_BONUS_EXP	Bonus-EXP for a long group game: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Call group member.
PARTY_REGEN_BONUS	Bonus for HP- + SP regeneration: +%d%%	SA
PARTY_REQUEST_DENIED	Your request has been declined.
PARTY_SET_ATTACKER	Constitute as attacker.
PARTY_SET_BERSERKER	Constitute as berserker.
PARTY_SET_BUFFER	Constitute as blocker.
PARTY_SET_DEFENDER	Constitute as defender.
PARTY_SET_NORMAL	Withdraw settings.
PARTY_SET_SKILL_MASTER	Constitute as skill master.
PARTY_SET_TANKER	Constitute as blade fighter.
PARTY_SKILL_ATTACKER	Base attack value attacker +%.0f
PARTY_SKILL_BERSERKER	Attack speed berserker +%.0f
PARTY_SKILL_BUFFER	Skill duration blocker +%.0f
PARTY_SKILL_DEFENDER	Defence as defender +%.0f%%
PARTY_SKILL_HP_REGEN	HP Regeneration +%.0f%%
PARTY_SKILL_PARTY_AREA	Group range +%d%%
PARTY_SKILL_SKILL_MASTER	HP regeneration as skill master +%.0f%%
PARTY_SKILL_SP_REGEN	SP Regeneration +%.0f%%
PARTY_SKILL_TANKER	Max. HP blade fighter +%.0f
PARTY_SKILL_WARP	Possible to call group members.
PASSWORD_TITLE	Storeroom password
PET_ATTR_CHANGE_DIALOG_TEXT	Would you like to change your pet's attributes now?\nThe 'Enchant Pet' item will be used in this process.\nThe process can fail.
PET_ATTR_DETERMINE_TYPE1	Pet Type 1: clumsy. Not particularly strong.\nOver time you can improve its skills.
PET_ATTR_DETERMINE_TYPE2	Pet Type 2: inquisitive. Not particularly strong.\nA loyal companion whose abilities will improve with time.
PET_ATTR_DETERMINE_TYPE3	Pet Type 3: spirited. Average strength.\nOver time you can improve its skills.
PET_ATTR_DETERMINE_TYPE4	Pet Type 4: courageous. Average strength.\nA loyal companion whose abilities will improve with time.
PET_ATTR_DETERMINE_TYPE5	Pet Type 5: bold. Strong.\nOver time you can improve its skills even further.
PET_ATTR_DETERMINE_TYPE6	Pet Type 6: legendary. Strong.\nA loyal companion whose abilities will even improve with time.
PET_ATTR_DETERMINE_TYPE7	Pet Type 7: mythic. Very strong.\nIt will reach its full potential over time.
PET_ATTR_DETERMINE_TYPE8	Pet Type 8: prismatic. Extremely strong.\nA loyal companion you can always rely on.
PET_BAG_DESC	%s
PET_CAN_NOT_EGG_ITEM_USE	You cannot open your Incubator whilst trading or whilst you have your storeroom or a private shop open.
PET_CAN_NOT_FEED_SPLIT_ITEM	You cannot place any split items in this window.
PET_CAN_NOT_FEED_TYPE	You cannot feed your pet like that. Please try something else.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Your pet must be level %d to train and promote it to the next stage of evolution.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Your pet must have 100% experience to train and promote it to the next stage of evolution.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Your pet has already reached the highest stage of evolution.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	You cannot open a private shop when you have summoned your pet.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Your pet must be %d days old to train and promote it to the next stage of evolution.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	You cannot call your pet because the duration has expired.
PET_CAN_NOT_USE_BAG	You cannot use the Transport Box because your pet has already expired.
PET_EMPTY_SKILL_SLOT_USE_ITEM	The pet does not have any skills to reset.
PET_HATCHING_ACCEPT	Do you want to call your pet '%s'?
PET_HATCHING_MONEY	Price: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	You cannot carry out any other interactions whilst the Incubator is open.
PET_INFORMATION_STAGE1	Young
PET_INFORMATION_STAGE2	Wild
PET_INFORMATION_STAGE3	Valiant
PET_INFORMATION_STAGE4	Heroic
PET_INFO_EXP	Current experience
PET_INFO_ITEM_EXP	Current item EXP
PET_INFO_NEXT_EXP	Remaining experience
PET_INFO_NEXT_ITEM_EXP	Remaining item EXP
PET_MSG_NOT_ENOUGH_MONEY	You do not have enough Yang.
PET_NAME_CHANGE_ACCEPT	Do you want to change your pet's name to %s?
PET_NAME_MIN	The name entered is too short.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	There’s no pet to revive.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	You do not have enough material.
PET_REVIVE_QUESTION	Do you want to revive %s? Number of Prisms of Revival: %d
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Resetting your pet's skill(s) is irreversible.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Do you want to continue?
PET_SKILL_LEARN_QUESTION_DLG_MSG	Do you want to start hero training with '%s'?
PET_SKILL_TOOLTIP_COOLTIME	Cooldown: %s seconds
PET_SKILL_TOOLTIP_FEATHER	The pet has a %d%% chance to activate Feather Walk for %.1f seconds.\n Attack %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	When your HP drops below 20%%, you have \n a %d%% chance to increase your HP by %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Your character has a %d%% chance to become invincible\n when your HP drops below 10%%. \n Effect duration: %.1f seconds.	SAA
PET_SKILL_TOOLTIP_REMOVAL	There is a %d%% chance to immediately remove \n all effects like slow, poison or bleeding if your\n character is affected.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Increase hero training to next stage?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Cost: %s
PET_TOOLTIP_DEF	Defence
PET_TOOLTIP_HP	HP
PET_TOOLTIP_LEVEL	Level
PET_TOOLTIP_LIFETIME_OVER	Expired
PET_TOOLTIP_SKILL_BONUS_VALUE	in hero training
PET_TOOLTIP_SKILL_CUR_LEVEL	Level: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Next level: %d (max. %d)
PET_TOOLTIP_SP	SP
PET_TOOLTIP_TRADABLE	Tradeable
PET_TOOLTUP_SKILL	%s (Stage %d)
PICK_ITEM_TITLE	Item number.
PICK_MONEY_TITLE	Sum
PRIVATE_SHOP_CANNOT_SELL_ITEM	You cannot sell this item in a private shop.
PRIVATE_SHOP_CLOSE_QUESTION	Do you want to close the private shop?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Name of the private shop.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Price
PVP_LEVEL0	Chivalric
PVP_LEVEL1	Noble
PVP_LEVEL2	Good
PVP_LEVEL3	Friendly
PVP_LEVEL4	Neutral
PVP_LEVEL5	Aggressive
PVP_LEVEL6	Fraudulent
PVP_LEVEL7	Malicious
PVP_LEVEL8	Cruel
PVP_MODE_GUILD	PvP - Guild activated
PVP_MODE_KILL	PvP - Free activated
PVP_MODE_NORMAL	PvP - Peace activated
PVP_MODE_PROTECT	PvP - Protection activated
PVP_MODE_REVENGE	PvP - Hostile activated
PVP_OPTION_KILL	Free
PVP_OPTION_NORMAL	Peace
PVP_OPTION_PROTECT	Protection
PVP_OPTION_REVENGE	Hostile
QUEST_APPEND	New quest acquired.
QUEST_CATEGORY_00	Main quests
QUEST_CATEGORY_01	Side quests
QUEST_CATEGORY_02	Hunting mission
QUEST_CATEGORY_03	Event missions
QUEST_CATEGORY_04	Biologist quests
QUEST_CATEGORY_05	Game missions
QUEST_CATEGORY_06	Mission book quests
QUEST_CATEGORY_07	Daily quest
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Time expired
QUEST_UNLIMITED_TIME	No time limit.
QUEST_ZEROSEC	0 sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	This item cannot be added to the fast access field.
RECEIVE_MESSAGE	%s sent you a message.
REFINE_AUTO	Keep the window open
REFINE_COST	Costs for advancement: %d Yang
REFINE_COST_UPGRADE	[i] Costs for advancement
REFINE_DESTROY_WARNING	This item could be destroyed while upgrading.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Do you really want to upgrade this item?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	If you fail, the item will be destroyed. Do you want to continue?
REFINE_DOWN_GRADE_WARNING	The item could be down graded this way.
REFINE_DO_YOU_SEPARATE_METIN	Do you want to remove all available spirit stones?
REFINE_FAILURE	Oh no, that didn't work! We've failed.
REFINE_FAILURE_CAN_NOT_ATTACH	%s cannot be included in that item.
REFINE_FAILURE_EQUIP_ITEM	You cannot upgrade equipped items.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	No spirit stone can be taken away.
REFINE_FAILURE_NEED_BETTER_SCROLL	You need a better advancement scroll.
REFINE_FAILURE_NO_GOLD_SOCKET	There is no gold socket to include %s .
REFINE_FAILURE_NO_MORE_SOCKET	You cannot add any more sockets.
REFINE_FAILURE_NO_SOCKET0	There is no free socket for the %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	You cannot add any more sockets to this item.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	This item cannot be upgraded.
REFINE_NEED_ITEMS	[i] Items required
REFINE_SUCCESS	The advancement of the item was successful.
REFINE_SUCCESS_PROBALITY	Chance for advancement %d%%
REFINE_UPGRADE	[i] Upgrade
REFINE_WARNING2	Do you want to continue?
RENEWAL_SKILL_SELECT_ASSASSIN_SKILL_IMG_DESC_LEFT	A strong and fast fighter is able to kill his enemy[ENTER]without him realizing what happened!
RENEWAL_SKILL_SELECT_ASSASSIN_SKILL_IMG_DESC_RIGHT	An old fighter who had the archer Lars Andersen[ENTER]as his teacher and can do with arrows what no one[ENTER]thought possible!
RENEWAL_SKILL_SELECT_CONFIRMATION	Your choice is : %s
RENEWAL_SKILL_SELECT_FINAL_ANSWER	Are you sure you want to choose this?
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_1_FOOTER	Melee combat
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_2_FOOTER	Distance fight
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_1_HEADER	Blade Ninja
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_2_HEADER	Archery Ninja
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_1_FOOTER	Body defensive fight
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_2_FOOTER	Offensive psychic combat
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_1_HEADER	Dragon Shaman
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_2_HEADER	Healing Shaman
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_1_FOOTER	Melee combat
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_2_FOOTER	Magic fight
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_1_HEADER	Magic Weapons Sura
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_2_HEADER	Black Magic Sura
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_1_FOOTER	Melee combat
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_2_FOOTER	Physical combat
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_1_HEADER	Body Warrior
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_2_HEADER	Mental Warrior
RENEWAL_SKILL_SELECT_SHAMAN_SKILL_IMG_DESC_LEFT	It was created and bred to help its allies by giving[ENTER]them power in strikes and protection in battle!
RENEWAL_SKILL_SELECT_SHAMAN_SKILL_IMG_DESC_RIGHT	He is able to give himself and his allies speed and[ENTER]regeneration in battle, being a good killer too!
RENEWAL_SKILL_SELECT_SURA_SKILL_IMG_DESC_LEFT	A legionnaire from Teutoburg remained alive as a[ENTER]mutant and having to survive in the forest of[ENTER]death, he specialized in fighting monsters!
RENEWAL_SKILL_SELECT_SURA_SKILL_IMG_DESC_RIGHT	A traitor to the legion, being a fearsome sorcerer[ENTER]he succeeds with his abilities to put even the most[ENTER]fearsome fighters to flight!
RENEWAL_SKILL_SELECT_WARRIOR_SKILL_IMG_DESC_LEFT	Known for their quickness and high basic attacks,[ENTER]body warriors are also known as fearless[ENTER]berserkers!
RENEWAL_SKILL_SELECT_WARRIOR_SKILL_IMG_DESC_RIGHT	Solid as the Chinese wall, the mental warrior is hard[ENTER]to put down, helped by his mobility!
RESTART_INSTANT_MESSAGE	This option will cost you 500.000 Yang.
RESTART_CLIENT_DO_YOU_ACCEPT_1	You must restart the client for the changes to be applied.
RESTART_CLIENT_DO_YOU_ACCEPT_2	Do you want to restart now?
REVIVE_AUTO_TOWN_MESSAGE	You'll be teleported to the city in: {}
SAFEBOX_ERROR	You entered the wrong password.
SAFEBOX_SELL_DISABLE_SAFEITEM	You cannot sell any of the saved items.
SAFEBOX_WRONG_PASSWORD	The passwords have to be identical.
SCREENSHOT_SAVE1	The screenshot is saved in
SCREENSHOT_SAVE2	screenshot file
SCREENSHOT_SAVE_FAILURE	Saving of screenshot failed.
SECOND	Sec
SECOND_CONFIRM_PET_FEED_QUESTION_1	Your item has %d or more bonuses.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Are you sure you want to feed it to your pet?
SELECT_CAN_NOT_DELETE	You cannot delete the character.
SELECT_CHANGED_NAME	You changed the name of the character.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	The character name is already existing.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Try again.
SELECT_CHANGE_FAILURE_STRANGE_NAME	That is the wrong character name.
SELECT_CHANGE_NAME_TITLE	Change character name.
SELECT_DELEING	Deleting...
SELECT_DELETED	Deletion successful.
SELECT_DO_YOU_DELETE_REALLY	Do you want to continue?
SELECT_EMPTY_SLOT	This is an empty field.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Enter a new character name.
SELECT_NOT_JOIN_GUILD	No guild
SELL_PRICE_INFO	[Sales price]
SELL_PRICE_INFO_PCS	Price: %s
SELL_PRICE_INFO_ALL	All: %s
SERVER_NOTIFY_CLOSED	Closed server: only accounts created before the closure may enter.
SERVER_STATUS_CLOSE	CLOSED
SERVER_STATUS_NEW	NEW
SERVER_STATUS_SPECIAL	SPECIAL
SHIP_MAST	Mast
SHOP_ALREADY_HAVE_ONE_ITEM	You can have only one item of this type with you.
SHOP_BUY_INFO	Choose the item you want to buy in the shop window.
SHOP_CANNOT_SELL_EQUIPMENT	You cannot sell  equipped items.
SHOP_CANNOT_SELL_ITEM	This item cannot be sold.
SHOP_ERROR_UNKNOWN	Unknown shop error: %s
SHOP_INVALID_POS	This item cannot be used here.
SHOP_INVENTORY_FULL	Your inventory is full.
SHOP_NOT_ENOUGH_COINS	Not enough Dragon Coins.
SHOP_NOT_ENOUGH_EXP	Not enough Experience.
SHOP_NOT_ENOUGH_ITEM	Not enough Items.
SHOP_NOT_ENOUGH_MONEY	Not enough Yang.
SHOP_SELL_INFO	Choose the item you want to sell in your inventory window.
SHOP_SOLDOUT	Sold Out
SHOT_ERROR_UNKNOWN	Unknown error during long distance attack: %s
SKILL_BOHO	Reflect
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	You need EXP to learn this skill.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	You need a book to learn this skill.
SKILL_CHEONGEUN	Strong body
SKILL_COLOR_SELECT_FIRST	First choose a color.
SKILL_COLOR_PICK_TOOLTIP	Choose the desired color for %s. (HEX Code : %s)
SKILL_COLOR_DO_YOU_RESET	Do you want to reset the color of your skill?
SKILL_COLOR_DO_YOU_CHANGE	Do you want to change the color of your skill?
SKILL_CRITICAL	Critical hit
SKILL_ENCHANT_POISON	Apply poison
SKILL_EUNHYEONG	Camouflage
SKILL_FAINT	Blackout
SKILL_FIND_TRAP	Find trap
SKILL_FIRE	Permanent fire
