ACCE_ABSORB_CHANCE	Rata absorbției: %d%%
MAINTENANCE_TEXT_INFO	|cFFf2e2bc|H|hMentenanță tehnică în: |cFF80f076|H|h%s
MAINTENANCE_TEXT_LENGTH	|cFFc9ff00|H|hDurată: |cFF80f076|H|h%s
MAINTENANCE_TEXT_REASON	Motiv: %s
MAINTENANCE_TEXT_REASON_TECHNICAL	Motiv: Mentenanță tehnică
MAINTENANCE_TEXT_TIME_DAYS	 Zile
MAINTENANCE_TEXT_TIME_HOURS	 Ore
MAINTENANCE_TEXT_TIME_MINUTES	 Minut(e)
MALL_CANNOT_INSERT	Nu poți poziționa obiectul.
MALL_PASSWORD_TITLE	Parola
MAP_01	Map 1
MAP_02	Map 2
MAP_01_02	Map 1 & 2
MAP_A1	Ținutul Yongan
MAP_A2	Valea Seungryong
MAP_A3	Ținutul Yayang
MAP_AG	Jungrang
MAP_B1	Ținutul Joan
MAP_B2	Valea Imji
MAP_B3	Ținutul Bokjung
MAP_BAY	Trecătoarea Nephrite
MAP_BG	Waryong
MAP_C1	Ținutul Pyungmoo
MAP_C2	Valea Bangsan
MAP_C3	Ținutul Bakra
MAP_CAPE	Peninsula Dragon de Foc
MAP_CG	Imha
MAP_DAWN	Stâncile Gautama
MAP_DESERT	Deșertul Yongbi
MAP_DEVILTOWER1	Turnul Demonilor
MAP_DEVILTOWER2	Turnul Umbrelor
MAP_DEVILCATACOMB	Catacomba Diavolului
MAP_DUEL	Arenă Antrenament de Luptă
MAP_EMPIREWAR01	Bătălie Castel
MAP_EMPIREWAR02	Bătălie Castel
MAP_EMPIREWAR03	Bătălie Castel
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_NUSLUCK	Tărâmul Giganților
MAP_N_FLAME_01	Țara de Foc
MAP_N_FLAME_DUNGEON_01	Purgatoriul Iadului
MAP_N_SNOW_DUNGEON_01	Turnul lui Nemere
MAP_OXEVENT	Concurs OX
MAP_SKELTOWER	Turnul Gumsan
MAP_SNOW	Muntele Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Temnița Păianjenilor 1
MAP_SPIDERDUNGEON_02	Temnița Păianjenilor 2
MAP_SPIDERDUNGEON_03	Temnița Păianjenilor 3
MAP_SKIPIA_DUNGEON_01	Grota Exilului
MAP_SKIPIA_DUNGEON_02	Grota Exilului 2
MAP_SKIPIA_DUNGEON_01_02	Grota Exilului 1 & 2
MAP_SKIPIA_DUNGEON_BOSS	Templul Dragonului
MAP_T1	Zona de Luptă Breaslă
MAP_T2	Zona de Luptă Breaslă
MAP_T3	Zona de Luptă Breaslă
MAP_T4	Zona de Luptă Breaslă
MAP_TEMPLE	Templul Hwang
MAP_THUNDER	Munții Thunder
MAP_TRADE	Bazaar
MAP_TREE	Lungsam
MAP_TRENT	Pădurea Fantomă
MAP_TRENT02	Pădurea Roșie
MAP_WEDDING_01	Harta Căsătoriilor
MAP_WL	Valea Șerpilor
MESSENGER_ADD_FRIEND_ANSWER_TIMEOVER	Cererea de prietenie a fost anulată.
MESSENGER_ADD_FRIEND	Adaugă prieten
MESSENGER_ADD_BLOCK_FRIEND	Blochează jucător
MESSENGER_BLOCK	Blocat
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND	%s vrea să fiți prieteni, accepți?
MESSENGER_DO_YOU_DELETE	Vrei să ștergi din listă?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Vrei să ștergi numărul de mobil?
MESSENGER_DO_YOU_MOVE	Mai departe?
MESSENGER_EMPTY_LIST	Gol
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Prieteni
MESSENGER_GUILD	Breaslă
MESSENGER_TEAM	Echipă
MINIMAP	Deschide mini harta
MINIMAP_BOSS_RESPAWN_TIME	[Respawn: %s]
MINIMAP_CANNOT_SEE	Harta mini nu poate fi afișată.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Harta mare nu poate fi afișată.
MINIMAP_DEC_SCALE	Minimează
MINIMAP_INC_SCALE	Maximează
MINIMAP_OBSERVER_COUNT	%d spectatori
MINIMAP_SHOW_AREAMAP	Deschide hartă mare
MINI_GAME_RUMI_DISCARD_QUESTION	Ești sigur că dorești să lași acest card?
MINI_GAME_RUMI_EXIT_QUESTION	Dorești să termini jocul și să colectezi premiul?
MINI_GAME_RUMI_EXIT_QUESTION2	Premiul diferă în funcție de punctele acumulate.
MINI_GAME_RUMI_START_QUESTION	Ai nevoie de %d Yang și %d Set(uri) de Carduri.
MINI_GAME_RUMI_START_QUESTION2	Vrei să joci?
MINUTE	Min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	zece mii
MONETARY_UNIT2	o sută de milioane
MONETARY_UNIT_JUN	MD
MONETARY_UNIT_EXP	Experiență
MONEY_INPUT_DIALOG_SELLPRICE	Preț de vânzare:
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Nu poşi face asta în timp ce cãlãreºti.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Poşi creºte nivelul calului atunci când ajungi la Nivel Campion.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Ai nevoie de %d Furaje ºi %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Încerci sã creºti nivelul calului la %d?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	Pentru a creºte nivelul calului tãu, vei avea nevoie de %d Furaje, %d Gaya, %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Nu ai suficient Gaya.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	Creºterea nivelului calului a eºuat.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	Nivelul calului a crescut la %d.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Nu ai suficient Yang sau Furaj.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Urmãtorul nivel: %d (Max. %d)
MOVE_CHANNEL_NOTICE	Te-ai conectat cu succes la canalul %d ...
MOVE_CHANNEL_OFFLINE	Acest canal este închis.
MOVE_CHANNEL_TITLE	Schimbă canalul
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nu poți muta obiectul dacă ai deschis un magazin privat.
MULTI_FARM_ACTIVE_CHAT	|cff00A8EB[Multi-Farm]|r |cffFFFFFFAcest cont primește drop!|r
MULTI_FARM_ACTIVE_TEXT	Dorești să activezi farm-ul?
MULTI_FARM_DEACTIVE_CHAT	|cff00A8EB[Multi-Farm]|r |cffFFFFFFAcest cont nu mai primește drop!|r
MULTI_FARM_DEACTIVE_TEXT	Dorești să dezactivezi farm-ul?
MULTI_FARM_PREMIUM_EFFECT	+%d caractere la Multi-Farm	SA
MULTI_FARM_TEXT_CAN_FARM	Dezactivează multi-farm - |Eemoji/key_lclick|e
MULTI_FARM_TEXT_CANT_FARM	Activează multi-farm - |Eemoji/key_lclick|e
MULTI_FARM_TITLE	Multi-Farm
MUSIC_EMPTY_MUSIC_LIST	Nicio muzică de fundal.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 muzică standard
MUSIC_NOT_SELECT_MUSIC	Nu ai ales nici un fișier de muzică.
NEEFD_REST	Trebuie să te odihnești întâi.
NOT_YET_SUPPORT	Nu este suportat.
OFFLINESHOP_AFFECT_DECORATION	Decorațiune magazin	SNA
OFFLINESHOP_BOARD_TITLE	Magazin privat
OFFLINESHOP_BUTTON_CLOSE	Închide magazin
OFFLINESHOP_BUTTON_HISTORY	Istoric
OFFLINESHOP_BUTTON_HISTORY_CLEAR	Șterge istoric
OFFLINESHOP_DO_YOU_GET_BACK	Vrei să retragi %s din magazin?
OFFLINESHOP_DO_YOU_REMOVE_HISTORY	Vrei să ștergi istoricul?
OFFLINESHOP_DO_YOU_WANT_BACK	Vrei să îți retragi itemele?
OFFLINESHOP_DO_YOU_WANT_CLOSE	Vrei să închizi magazinul?
OFFLINESHOP_DO_YOU_WANT_OPEN	Vrei să deschizi magazinul pentru %s Yang?
OFFLINESHOP_DO_YOU_WANT_SLOT	Vrei să deblochezi acest slot?
OFFLINESHOP_EXTEND_TIME_DIALOG	Te costă %s pentru a extinde cu 12 ore.
OFFLINESHOP_ITEM_SOLD	Vândut!
OFFLINESHOP_ITEM_SOLD2	[Cumpărător: %s]
OFFLINESHOP_ITEM_SOLD_MESSAGE	Ai vândut %s cu %s Yang
OFFLINESHOP_ITEM_SOLD_MESSAGE_WITH_COUNT	Ai vândut x%d%s cu %s Yang
OFFLINESHOP_SEARCH_BUTTON	Caută
OFFLINESHOP_SEARCH_BUTTON_BUY	Cumpără
OFFLINESHOP_SEARCH_BUTTON_BUY_QUESTION	Ai %d item selectat.
OFFLINESHOP_SEARCH_BUTTON_BUY_QUESTION2	Ai %d iteme selectate.
OFFLINESHOP_SEARCH_BUTTON_BUY_QUESTION_TOTAL	Total %s.
OFFLINESHOP_SEARCH_CLASS	Clasă
OFFLINESHOP_SEARCH_CLASS_ALL	Toate
OFFLINESHOP_SEARCH_CLASS_ASSASSIN	Ninja
OFFLINESHOP_SEARCH_CLASS_SHAMAN	Șaman
OFFLINESHOP_SEARCH_CLASS_SURA	Sura
OFFLINESHOP_SEARCH_CLASS_WARRIOR	Războinic
OFFLINESHOP_SEARCH_FILTER	Filtru item
OFFLINESHOP_SEARCH_ITEM_COUNT	Cantitate
OFFLINESHOP_SEARCH_ITEM_NAME	Nume item
OFFLINESHOP_SEARCH_ITEM_SELLER	Vânzător
OFFLINESHOP_SEARCH_NOT_ENOUGH_YANG	Nu ai suficient Yang.
OFFLINESHOP_SEARCH_OBJECTS	Obiecte
OFFLINESHOP_SEARCH_OBJECTS_ALL	Toate
OFFLINESHOP_SEARCH_OBJECTS_BOOKS	Cărți
OFFLINESHOP_SEARCH_OBJECTS_BOOKS_COMPANIONS	Însoțitori
OFFLINESHOP_SEARCH_OBJECTS_BOOKS_SKILLS	Abilități
OFFLINESHOP_SEARCH_OBJECTS_COMPANIONS	Companioni
OFFLINESHOP_SEARCH_OBJECTS_COMPANIONS_MOUNT	Mount
OFFLINESHOP_SEARCH_OBJECTS_COMPANIONS_PET	Animăluțe
OFFLINESHOP_SEARCH_OBJECTS_COMPANIONS_PET2	Însoțitori
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES	Costume
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_ACCE	Eșarfe
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_ARMOUR	Armură
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_AURA	Aură
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_HAIR	Frizură
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_MOUNT_SKIN	Mount
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_PET_SKIN	Animăluțe
OFFLINESHOP_SEARCH_OBJECTS_COSTUMES_WEAPON	Arme
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT	Echipament
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_ARMOUR	Armură
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_BELTS	Curele
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_BRACELETS	Brățări
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_EARRINGS	Cercei
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_HELMETS	Cască
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_NECKLACES	Colier
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_PENDANT	Talisman
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_SHIELD	Scut
OFFLINESHOP_SEARCH_OBJECTS_EQUIPMENT_SHOES	Papuci
OFFLINESHOP_SEARCH_OBJECTS_OTHERS	Altele
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS	Arme
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_BELL	Clopot
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_BOW	Arc
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_DAGGER	Pumnale
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_FAN	Evantai
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_SWORD	Sabie
OFFLINESHOP_SEARCH_OBJECTS_WEAPONS_TWOHAND	Lamă două-mâini
OFFLINESHOP_SEARCH_PRICE	Preț
OFFLINESHOP_SEARCH_SELECT_ITEM	Trebuie să alegi un item.
OFFLINESHOP_SEARCH_TITLE	Căutare globală
OFFLINESHOP_SEARCH_WAIT	Te rog așteaptă
OFFLINESHOP_SEARCH_WAIT_SPAM	Trebuie să aștepți câteva secunde.
OFFLINESHOP_VIEWS	Views: %d Total: %d
ONLINE_PLAYER_NOTICE	Jucătorul %s este online.
OPTION_GAME_CHARACTER	Caracter
OPTION_GAME_ENVIRONMENT	Ambient
OPTION_GAME_GRAPHIC	Grafică
OPTION_GAME_INTERFACE	Interfață
OPTION_GAME_PICKUP	Colectare
OPTION_GAME_SETTINGS	Setări joc
OPTION_GAME_SOUND	Sunete și muzică
OPTION_GRAPHIC_SETTINGS	Setări grafică
OPTION_SOUND_SETTINGS	Setări sunete
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Nu poți activa modul breaslă dacă nu aparții nici uneia.
OPTION_PVPMODE_NOT_SUPPORT	Nu poți folosi configurația modului PvP.
OPTION_PVPMODE_PROTECT	Trebuie să fi atins minim nivelul %d pentru a activa modul PvP.
PARTY_ANSWER_TIMEOVER	Invitația în grup a fost anulată.
PARTY_BONUS_ATTACKER	Valoare atac: +%d	SA
PARTY_BONUS_BERSERKER	Viteză de atac: +%d	SA
PARTY_BONUS_BUFFER	Durată Skill: +%d	SA
PARTY_BONUS_DEFENDER	Apărare: +%d	SA
PARTY_BONUS_EXP	Bonus-EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. PM: +%d	SA
PARTY_BONUS_TANKER	Max. PV: +%d	SA
PARTY_BREAK_UP	Sparge grupa
PARTY_DO_YOU_ACCEPT	%s te-a invitat în grup.
PARTY_DO_YOU_JOIN	, accepți invitația de a intra în grup?
PARTY_EXP_DISTRIBUTION_MODE	Distribuire EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Adept level
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Nivel mai înalt primește mai mult EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Egal
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Toți membrii grupei primesc la fel de mult EXP.
PARTY_HEAL_ALL_MEMBER	Reface totul
PARTY_INCREASE_AREA_150	Autonomia grupei mărită de 1,5 ori.	SNA
PARTY_INCREASE_AREA_200	Autonomia grupei mărită de 2 ori.	SNA
PARTY_LEAVE	Părăsește grupul
PARTY_LONGTIME_BONUS_EXP	EXP-bonus petru joc de grupă lung: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Strigă membru al grupei încoace.
PARTY_REGEN_BONUS	Bonus pentru regenerarea PV- + PM: +%d%%	SA
PARTY_REQUEST_DENIED	Cererea a fost refuzată.
PARTY_SET_ATTACKER	Stabilește ca atacator.
PARTY_SET_BERSERKER	Stabilește ca berserker.
PARTY_SET_BUFFER	Stabilește ca blocant.
PARTY_SET_DEFENDER	Stabilește ca apărător.
PARTY_SET_NORMAL	Anulează setarea.
PARTY_SET_SKILL_MASTER	Stabilește ca maestru al competenței.
PARTY_SET_TANKER	Stabilește ca luptător de apropiere.
PARTY_SKILL_ATTACKER	Valoare de bază atac atacator +%.0f
PARTY_SKILL_BERSERKER	Viteză de atac berserker +%.0f
PARTY_SKILL_BUFFER	Durată Skill Blocant +%.0f
PARTY_SKILL_DEFENDER	Apărare apărător +%.0f
PARTY_SKILL_HP_REGEN	Regenerare PV +%.0f%%
PARTY_SKILL_PARTY_AREA	Autonomia grupei +%d%%
PARTY_SKILL_SKILL_MASTER	PM maestrul competenței max. +%.0f
PARTY_SKILL_SP_REGEN	Regenerare PM +%.0f%%
PARTY_SKILL_TANKER	Max. PV luptător aproape +%.0f
PARTY_SKILL_WARP	Capacitate de a striga membri ai grupei încoace.
PASSWORD_TITLE	Parolă depozit
PET_ATTR_CHANGE_DIALOG_TEXT	Dorești să schimbi atributele însoțitorului acum?\nObiectul 'Însoțitor Magic' va fi folosit în acest proces.\nProcesul poate eșua.
PET_ATTR_DETERMINE_TYPE1	Însoțitor Tip 1: neÎndemânatic. Nu este foarte puternic.\nVei putea să îi îmbunătățești abilitățile.
PET_ATTR_DETERMINE_TYPE2	Însoțitor Tip 2: indiscret. Nu este foarte puternic.\nUn însoțior loial ale cărui abilități se vor îmbunătăți cu timpul.
PET_ATTR_DETERMINE_TYPE3	Însoțitor Tip 3: vioi. Putere medie.\nVei putea să îi îmbunătățești abilitățile.
PET_ATTR_DETERMINE_TYPE4	Însoțitor Tip 4: curajos. Putere medie.\nUn însoțior loial ale cărui abilități se vor îmbunătăți cu timpul.
PET_ATTR_DETERMINE_TYPE5	Însoțitor Tip 5: îndrăzneț. Puternic.\nVei putea să îi îmbunătățești abilitățile și mai mult.
PET_ATTR_DETERMINE_TYPE6	Însoțitor Tip 6: legendar. Puternic.\nUn însoțior loial ale cărui abilități se vor îmbunătăți mai mult cu timpul.
PET_ATTR_DETERMINE_TYPE7	Însoțitor Tip 7: mitic. Foarte puternic.\nVa ajunge în timp la potențial maxim.
PET_ATTR_DETERMINE_TYPE8	Însoțitor Tip 8: prismatic. Extrem de puternic.\nUn însoțitor loial pe care te vei putea baza mereu.
PET_BAG_DESC	%s
PET_CAN_NOT_EGG_ITEM_USE	Nu poți deschide Incubatorul în timp ce negociezi, ai deschis depozitul sau un magazin privat.
PET_CAN_NOT_FEED_SPLIT_ITEM	Nu poți pune obiecte sparte în această fereastră.
PET_CAN_NOT_FEED_TYPE	Nu poți hrăni însoțitorul cu asta. încearcă altceva.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Însoțitorul trebuie să aibă nivelul %d pentru a-l antrena și promova la următorul stadiu de evoluție.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Însoțitorul trebuie să aibă 100% experiență pentru a-l antrena și promova la următorul stadiu de evoluție.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Însoțitorul a atins deja cel mai înalt grad al evoluției.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Nu poți deschide un magazin privat în timp ce ai chemat însoțitorul.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Însoțitorul trebuie să aibă %d zile pentru a-l antrena și promova la următorul stadiu de evoluție.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Nu poți chema însoțitorul deoarece a expirat valabilitatea.
PET_CAN_NOT_USE_BAG	Nu poți folosi Cutia de Transport deoarece însoțitorul tău deja a expirat.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Însoțitorul nu are nicio abilitate de resetat.
PET_HATCHING_ACCEPT	Dorești să îți chemi însoțitorul '%s'?
PET_HATCHING_MONEY	Preț: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Nu poți avea nicio altă acțiune în timp ce Incubatorul este deschis.
PET_INFORMATION_STAGE1	Tânăr
PET_INFORMATION_STAGE2	Sălbatic
PET_INFORMATION_STAGE3	Curajos
PET_INFORMATION_STAGE4	Eroic
PET_INFO_EXP	Experiență acumulată
PET_INFO_ITEM_EXP	EXP obiect actual
PET_INFO_NEXT_EXP	Experiență rămasă
PET_INFO_NEXT_ITEM_EXP	EXP obiect rămas
PET_MSG_NOT_ENOUGH_MONEY	Nu ai Yang suficient.
PET_NAME_CHANGE_ACCEPT	Dorești să schimbi numele însoțitorului în %s?
PET_NAME_MIN	Numele introdus este prea scurt.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Nu există niciun însoțitor de reÎnviat.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Nu ai destul material.
PET_REVIVE_QUESTION	Vrei să reÎnvii pe %s? Număr de Prisme ReÎnviere: %d
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Resetarea abilităților însoțitorului este ireversibilă.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Dorești să continui?
PET_SKILL_LEARN_QUESTION_DLG_MSG	Dorești să începi antrenamentul pentru '%s'?
PET_SKILL_TOOLTIP_COOLTIME	Calmare: %s secunde
PET_SKILL_TOOLTIP_FEATHER	Însoțitorul are %d%% șansă să activeze Mers de Fulg pentru %.1f secunde.\nAtac %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Când PV scade sub 20%, ai \n %d%% șansă să crești PV cu %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Caracterul tău are %d%% șansa să devină invincibil \n atunci când PV scade sub 10%%. \n Durată efect: %.1f secunde.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Există o șansă de %d%% pentru a înlătura imediat \n toate efectele precum încetinirea, otrăvirea sau sângerarea dacă \n a fost afectat caracterul.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Treci antrenamentul la următorul nivel?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Preț: %s
PET_TOOLTIP_DEF	Apărare
PET_TOOLTIP_HP	PV
PET_TOOLTIP_LEVEL	Nivel
PET_TOOLTIP_LIFETIME_OVER	Expirat
PET_TOOLTIP_SKILL_BONUS_VALUE	În antrenament
PET_TOOLTIP_SKILL_CUR_LEVEL	Nivel: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Următorul nivel: %d (max. %d)
PET_TOOLTIP_SP	PM
PET_TOOLTIP_TRADABLE	Negociabil
PET_TOOLTUP_SKILL	%s (Stagiu %d)
PICK_ITEM_TITLE	Numărul obiectului.
PICK_MONEY_TITLE	Suma
PRIVATE_SHOP_CANNOT_SELL_ITEM	Nu poți vinde acest obiect în magazin.
PRIVATE_SHOP_CLOSE_QUESTION	Vrei să închizi magazinul?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Numele magazinului
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Preț
PVP_LEVEL0	Cavaleresc
PVP_LEVEL1	Nobil
PVP_LEVEL2	Bun
PVP_LEVEL3	Prietenos
PVP_LEVEL4	Neutru
PVP_LEVEL5	Agresiv
PVP_LEVEL6	Dezonorat
PVP_LEVEL7	Răutăcios
PVP_LEVEL8	Crud
PVP_MODE_GUILD	PvP - Breaslă activat
PVP_MODE_KILL	PvP - Liber activat.
PVP_MODE_NORMAL	PvP - Pace activat.
PVP_MODE_PROTECT	PvP - Protecție activat.
PVP_MODE_REVENGE	PvP - Agresiv activat.
PVP_OPTION_KILL	Liber
PVP_OPTION_NORMAL	Pace
PVP_OPTION_PROTECT	Protecție
PVP_OPTION_REVENGE	Agresiv
QUEST_APPEND	Misiune nouă înregistrată.
QUEST_CATEGORY_00	Misiuni principale
QUEST_CATEGORY_01	Misiuni secundare
QUEST_CATEGORY_02	Misiuni de vânătoare
QUEST_CATEGORY_03	Misiuni eveniment
QUEST_CATEGORY_04	Misiuni biolog
QUEST_CATEGORY_05	Misiuni din joc
QUEST_CATEGORY_06	Misiuni de la cărți
QUEST_CATEGORY_07	Misiuni zilnice
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Timpul a expirat
QUEST_UNLIMITED_TIME	Nici o limită de timp
QUEST_ZEROSEC	0 sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	Acest obiect nu poate fi adăugat la câmpul de acces rapid.
RECEIVE_MESSAGE	%s ți-a trimis un mesaj.
REFINE_AUTO	Păstrează fereastra deschisă
REFINE_COST	Costuri de îmbunătățire: %d Yang
REFINE_COST_UPGRADE	[i] Costuri de îmbunătățire
REFINE_DESTROY_WARNING	Obiectul poate fi distrus prin înnobilare.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Crește probabilitatea de îmbunătățire,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	dar dacă nu îți reușește, obiectul va fi distrus. Continui?
REFINE_DOWN_GRADE_WARNING	Obiectul poate fi distrus prin înnobilare.
REFINE_DO_YOU_SEPARATE_METIN	Dorești să înlături toate Pietrele Spiritului disponibile?
REFINE_FAILURE	Nu a funcționat. Am eșuat.
REFINE_FAILURE_CAN_NOT_ATTACH	%s nu poate fi adăugat obiectului.
REFINE_FAILURE_EQUIP_ITEM	Nu poți îmbunătăți obiectele echipate.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nu poate fi îndepărtată nici o piatră stafie.
REFINE_FAILURE_NEED_BETTER_SCROLL	Ai nevoie de un pergament de îmbunătățire mai bun.
REFINE_FAILURE_NO_GOLD_SOCKET	Nu există suport de aur pentru a adăuga %s.
REFINE_FAILURE_NO_MORE_SOCKET	Nu poți să mai adaugi suporturi.
REFINE_FAILURE_NO_SOCKET0	Nu există suport pentru a adăuga %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Acestui obiect nu îi poate fi adăugat un suport.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Acest obiect nu poate fi îmbunătățit.
REFINE_NEED_ITEMS	[i] Materiale necesare
REFINE_SUCCESS	Îmbunătățirea obiectului a reușit.
REFINE_SUCCESS_PROBALITY	Șansă de îmbunătățire: %d%%
REFINE_UPGRADE	[i] îmbunătățire
REFINE_WARNING2	Vrei să continui?
RENEWAL_SKILL_SELECT_ASSASSIN_SKILL_IMG_DESC_LEFT	Un puternic și iute luptător este capabil să își ucidă[ENTER]dușmanul fără ca acesta să își dea[ENTER]seama ce s-a întâmplat!
RENEWAL_SKILL_SELECT_ASSASSIN_SKILL_IMG_DESC_RIGHT	Un vechi luptător ce l-a avut ca profesor pe[ENTER]arcașul Lars Andersen și poate face cu săgețile ceea[ENTER]ce nimeni nu credea că este posibil!
RENEWAL_SKILL_SELECT_CONFIRMATION	Competență aleasă : %s
RENEWAL_SKILL_SELECT_FINAL_ANSWER	Sunteți sigur de această alegere?
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_1_FOOTER	Luptă corp la corp
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_2_FOOTER	Luptă la departare
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_1_HEADER	Ninja Lamă
RENEWAL_SKILL_SELECT_JOB_ASSASSIN_SKILL_2_HEADER	Ninja Arc
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_1_FOOTER	Luptă defensivă corporală
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_2_FOOTER	Luptă ofensivă psihică
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_1_HEADER	Șaman Zmeu
RENEWAL_SKILL_SELECT_JOB_SHAMAN_SKILL_2_HEADER	Șaman Vindecare
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_1_FOOTER	Luptă corp la corp
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_2_FOOTER	Luptă magică
